Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,130.28,130.90,124.17,125.07,124.54,112117500
2023-01-04,126.89,128.66,125.08,126.36,125.82,89113600
2023-01-05,127.13,127.77,124.76,125.02,124.49,80962700
2023-01-06,126.01,130.29,124.89,129.62,129.07,87754700
2023-01-09,130.47,133.41,129.89,130.15,129.60,70790800
2023-01-10,130.26,131.26,128.12,130.73,130.17,63896200
2023-01-11,131.25,133.51,130.46,133.49,132.92,69458900
2023-01-12,133.88,134.26,131.44,133.41,132.84,71379600
2023-01-13,132.03,134.92,131.66,134.76,134.19,57809700
2023-01-17,134.83,137.29,134.13,135.94,135.36,63646600
2023-01-18,136.82,138.61,135.03,135.21,134.64,69672800
2023-01-19,134.08,136.25,133.77,135.27,134.70,58280400
2023-01-20,135.28,138.02,134.22,137.87,137.29,80223600
2023-01-23,138.12,143.32,137.90,141.11,140.51,81760300
2023-01-24,140.31,143.16,140.30,142.53,141.93,66435100
2023-01-25,140.89,142.43,138.81,141.86,141.26,65799300
2023-01-26,143.17,144.25,141.90,143.96,143.35,54105100
2023-01-27,143.16,147.23,143.08,145.93,145.31,70555800
2023-01-30,144.96,145.55,142.85,143.00,142.39,64015300
2023-01-31,142.70,144.34,142.28,144.29,143.68,65874500
